level_equivalent_diameter,level_major_axis_length,level_minor_axis_length,level_solidity,nodes,distmap-skew,distmap-kurt
4.865133285522460938e+01,1.010705184936523438e+02,5.723187637329101562e+01,3.620958328247070312e-01,2.500000000000000000e+01,1.021079659461975098e+00,4.211523234844207764e-01
7.725071716308593750e+01,9.992899322509765625e+01,8.766596221923828125e+01,5.629354119300842285e-01,5.800000000000000000e+01,1.355791211128234863e+00,2.201516389846801758e+00
9.112666320800781250e+01,1.246208724975585938e+02,1.045449447631835938e+02,6.319767236709594727e-01,5.600000000000000000e+01,1.057274818420410156e+00,7.636815309524536133e-01
1.084594879150390625e+02,1.158654022216796875e+02,1.094862899780273438e+02,8.452108502388000488e-01,2.500000000000000000e+01,5.287573933601379395e-01,-7.326754331588745117e-01
3.998986053466796875e+01,5.053089141845703125e+01,4.078276062011718750e+01,7.112118005752563477e-01,1.300000000000000000e+01,1.051095843315124512e+00,4.383678436279296875e-01
7.560140228271484375e+01,8.187762451171875000e+01,7.686322021484375000e+01,7.949353456497192383e-01,1.900000000000000000e+01,4.477771520614624023e-01,-6.993689537048339844e-01
4.286355972290039062e+01,6.041275787353515625e+01,3.541564941406250000e+01,6.419039368629455566e-01,1.100000000000000000e+01,7.113985419273376465e-01,-3.585698902606964111e-01
3.637163543701171875e+01,5.936162567138671875e+01,3.979360580444335938e+01,5.517790913581848145e-01,1.900000000000000000e+01,9.096414446830749512e-01,2.877230346202850342e-01
5.780121612548828125e+01,1.133524932861328125e+02,5.502263259887695312e+01,5.275432467460632324e-01,4.100000000000000000e+01,1.260350704193115234e+00,1.695730566978454590e+00
1.113156204223632812e+02,1.249182586669921875e+02,1.151016464233398438e+02,7.640731930732727051e-01,6.900000000000000000e+01,9.560964107513427734e-01,2.172636240720748901e-01
5.167188262939453125e+01,8.689740753173828125e+01,6.971090698242187500e+01,3.468408882617950439e-01,1.800000000000000000e+01,1.104140400886535645e+00,6.582995653152465820e-01
9.402182006835937500e+01,1.008927230834960938e+02,9.104965209960937500e+01,9.226577877998352051e-01,1.000000000000000000e+01,5.314209461212158203e-01,-7.507951259613037109e-01
5.544005966186523438e+01,6.935119628906250000e+01,5.456826782226562500e+01,7.190944552421569824e-01,1.000000000000000000e+01,9.355447888374328613e-01,1.180269941687583923e-01
8.077965545654296875e+01,1.132959136962890625e+02,6.822223663330078125e+01,7.762799263000488281e-01,3.100000000000000000e+01,6.848455667495727539e-01,-3.437019586563110352e-01
5.027305984497070312e+01,6.032352447509765625e+01,4.413692474365234375e+01,8.548665046691894531e-01,3.000000000000000000e+00,5.756604671478271484e-01,-6.402106881141662598e-01
4.019628143310546875e+01,7.699102783203125000e+01,4.574753570556640625e+01,4.877017736434936523e-01,1.800000000000000000e+01,7.691318392753601074e-01,-2.072575688362121582e-01
5.517531967163085938e+01,8.821794128417968750e+01,5.087876892089843750e+01,5.785143971443176270e-01,2.400000000000000000e+01,9.769538640975952148e-01,5.521346926689147949e-01
9.118253326416015625e+01,1.145235214233398438e+02,1.024222259521484375e+02,6.397570371627807617e-01,4.900000000000000000e+01,1.062755346298217773e+00,6.889418363571166992e-01
2.435835838317871094e+01,1.006619567871093750e+02,3.136026763916015625e+01,2.226469218730926514e-01,1.200000000000000000e+01,9.906380176544189453e-01,1.767615079879760742e-01
6.300762557983398438e+01,7.265429687500000000e+01,5.945243453979492188e+01,8.305807113647460938e-01,1.100000000000000000e+01,6.266919374465942383e-01,-4.513438045978546143e-01
3.570031738281250000e+01,5.788264846801757812e+01,2.510894584655761719e+01,8.369565010070800781e-01,1.100000000000000000e+01,6.712464690208435059e-01,-3.251116275787353516e-01
7.165873718261718750e+01,8.787590789794921875e+01,8.128807830810546875e+01,6.332234144210815430e-01,3.000000000000000000e+01,1.015620112419128418e+00,3.891834914684295654e-01
8.092925262451171875e+01,1.156443634033203125e+02,6.962002563476562500e+01,6.979647278785705566e-01,3.700000000000000000e+01,9.800179600715637207e-01,3.574474751949310303e-01
4.604284667968750000e+01,8.202140045166015625e+01,3.690657043457031250e+01,6.271186470985412598e-01,1.100000000000000000e+01,1.024441719055175781e+00,2.845428884029388428e-01
6.375092697143554688e+01,8.538741302490234375e+01,7.353091430664062500e+01,6.432889699935913086e-01,5.000000000000000000e+01,1.222484588623046875e+00,1.355215787887573242e+00
7.710224151611328125e+01,8.547904968261718750e+01,7.791154479980468750e+01,8.355404734611511230e-01,1.400000000000000000e+01,5.807817578315734863e-01,-5.587947964668273926e-01
8.494379425048828125e+01,9.281569671630859375e+01,8.073321533203125000e+01,9.320723414421081543e-01,4.000000000000000000e+00,6.605566143989562988e-01,-5.227675437927246094e-01
4.048035812377929688e+01,7.471400451660156250e+01,4.198514175415039062e+01,5.086956620216369629e-01,1.000000000000000000e+01,9.214315414428710938e-01,1.139259114861488342e-01
7.080073547363281250e+01,9.191459655761718750e+01,8.203755950927734375e+01,6.237325668334960938e-01,9.500000000000000000e+01,1.151829600334167480e+00,7.986078858375549316e-01
8.652542114257812500e+01,1.097319030761718750e+02,9.172710418701171875e+01,6.531156301498413086e-01,5.500000000000000000e+01,1.089944362640380859e+00,1.064486145973205566e+00
7.474607086181640625e+01,9.126167297363281250e+01,8.380908966064453125e+01,6.187252998352050781e-01,3.200000000000000000e+01,1.451101422309875488e+00,2.108103513717651367e+00
5.783424758911132812e+01,6.724964141845703125e+01,5.665452194213867188e+01,7.834774851799011230e-01,1.100000000000000000e+01,4.863097369670867920e-01,-7.450314164161682129e-01
9.217552185058593750e+01,1.093459625244140625e+02,9.255677795410156250e+01,7.341033816337585449e-01,2.600000000000000000e+01,1.210841059684753418e+00,9.685502052307128906e-01
1.121588439941406250e+02,1.250912017822265625e+02,1.036628341674804688e+02,9.262210726737976074e-01,1.600000000000000000e+01,3.005242943763732910e-01,-8.202428221702575684e-01
6.215310668945312500e+01,8.280180358886718750e+01,6.042177200317382812e+01,6.438879370689392090e-01,4.200000000000000000e+01,8.130615353584289551e-01,1.734678149223327637e-01
6.101600265502929688e+01,8.961846160888671875e+01,6.452886199951171875e+01,6.360669732093811035e-01,5.400000000000000000e+01,1.597748517990112305e+00,2.680562019348144531e+00
8.162635803222656250e+01,1.004419250488281250e+02,9.593218231201171875e+01,6.704676747322082520e-01,8.300000000000000000e+01,1.593123793601989746e+00,3.164040327072143555e+00
5.737006378173828125e+01,7.033322143554687500e+01,6.673616027832031250e+01,6.422360539436340332e-01,4.900000000000000000e+01,1.132242321968078613e+00,8.293848633766174316e-01
3.110726737976074219e+01,4.266281509399414062e+01,2.813927078247070312e+01,7.286673188209533691e-01,1.300000000000000000e+01,7.890944480895996094e-01,-1.962849944829940796e-01
5.100223922729492188e+01,5.587857055664062500e+01,4.954507446289062500e+01,7.906346917152404785e-01,4.000000000000000000e+00,6.718847751617431641e-01,-5.741996765136718750e-01
5.716997528076171875e+01,6.790972137451171875e+01,6.045203399658203125e+01,7.198541760444641113e-01,2.000000000000000000e+01,1.053249835968017578e+00,9.185065627098083496e-01
6.511441802978515625e+01,9.449771118164062500e+01,7.944023132324218750e+01,5.378775596618652344e-01,5.700000000000000000e+01,1.037531614303588867e+00,6.764981746673583984e-01
4.430953979492187500e+01,4.619017410278320312e+01,4.445862960815429688e+01,8.711864352226257324e-01,5.000000000000000000e+00,7.164561152458190918e-01,-4.920870661735534668e-01
5.314174652099609375e+01,1.142878723144531250e+02,1.067129592895507812e+02,2.880519628524780273e-01,2.600000000000000000e+01,1.248716711997985840e+00,1.175236821174621582e+00
8.953388214111328125e+01,1.159950027465820312e+02,1.036424484252929688e+02,6.403580307960510254e-01,5.700000000000000000e+01,9.846474528312683105e-01,3.430908322334289551e-01
1.099171066284179688e+02,1.186104431152343750e+02,1.048031921386718750e+02,8.903171420097351074e-01,5.000000000000000000e+00,6.224593520164489746e-01,-5.886178612709045410e-01
5.887068939208984375e+01,7.183682250976562500e+01,6.440928649902343750e+01,6.808404326438903809e-01,4.600000000000000000e+01,1.337655901908874512e+00,2.264585733413696289e+00
8.139987182617187500e+01,1.008382720947265625e+02,9.109132385253906250e+01,6.665812730789184570e-01,2.700000000000000000e+01,1.255181074142456055e+00,1.080804347991943359e+00
5.951598358154296875e+01,7.929766082763671875e+01,6.229589080810546875e+01,6.038636565208435059e-01,2.100000000000000000e+01,8.986148834228515625e-01,-5.352151393890380859e-02
6.495780181884765625e+01,6.902593994140625000e+01,6.453144836425781250e+01,9.233769774436950684e-01,7.000000000000000000e+00,5.004491209983825684e-01,-5.195432305335998535e-01
4.753945922851562500e+01,7.170040893554687500e+01,5.095433807373046875e+01,5.871650576591491699e-01,2.000000000000000000e+01,1.203584551811218262e+00,1.250464081764221191e+00
4.390540695190429688e+01,7.293206787109375000e+01,2.978789138793945312e+01,7.788065671920776367e-01,9.000000000000000000e+00,7.164621949195861816e-01,-1.435393840074539185e-01
1.358748435974121094e+01,3.930264282226562500e+01,1.208738040924072266e+01,4.489164054393768311e-01,2.000000000000000000e+00,1.138595581054687500e+00,7.167914509773254395e-01
4.756623458862304688e+01,5.544342422485351562e+01,5.187512588500976562e+01,6.502012610435485840e-01,2.500000000000000000e+01,1.071409225463867188e+00,4.505223631858825684e-01
6.022839355468750000e+01,8.885520172119140625e+01,6.531112670898437500e+01,5.741636157035827637e-01,3.700000000000000000e+01,1.507841110229492188e+00,2.739055156707763672e+00
6.748612976074218750e+01,9.252323913574218750e+01,6.364374542236328125e+01,5.950756669044494629e-01,4.700000000000000000e+01,1.541508436203002930e+00,2.268551826477050781e+00
7.419039154052734375e+01,8.513071441650390625e+01,8.380721282958984375e+01,7.490902543067932129e-01,3.900000000000000000e+01,1.083102583885192871e+00,5.307024717330932617e-01
8.586809539794921875e+01,1.105281143188476562e+02,9.952338409423828125e+01,6.484882235527038574e-01,9.700000000000000000e+01,1.116436719894409180e+00,9.109428524971008301e-01
7.036781311035156250e+01,9.075479888916015625e+01,6.913645935058593750e+01,7.197853326797485352e-01,3.000000000000000000e+01,9.330193996429443359e-01,1.838306337594985962e-02
5.093978881835937500e+01,8.851428222656250000e+01,4.656055450439453125e+01,5.620518326759338379e-01,3.600000000000000000e+01,9.429175853729248047e-01,2.113858312368392944e-01
7.630546569824218750e+01,8.563761138916015625e+01,7.316159057617187500e+01,8.603951334953308105e-01,1.800000000000000000e+01,9.565153121948242188e-01,3.179621100425720215e-01
4.745904159545898438e+01,5.666134643554687500e+01,4.488885116577148438e+01,8.637695312500000000e-01,7.000000000000000000e+00,6.486011147499084473e-01,-6.344460844993591309e-01
6.894202423095703125e+01,7.878130340576171875e+01,6.763884735107421875e+01,8.005575537681579590e-01,1.200000000000000000e+01,6.419900655746459961e-01,-1.724350601434707642e-01
9.959823608398437500e+01,1.108541412353515625e+02,9.765109252929687500e+01,8.039417862892150879e-01,3.200000000000000000e+01,8.576047420501708984e-01,2.533509433269500732e-01
6.904352569580078125e+01,8.420795440673828125e+01,7.414200592041015625e+01,6.690493226051330566e-01,3.900000000000000000e+01,9.060126543045043945e-01,2.871440351009368896e-01
4.674269104003906250e+01,9.472549438476562500e+01,5.154943847656250000e+01,4.936708807945251465e-01,2.500000000000000000e+01,1.367280483245849609e+00,1.713085651397705078e+00
8.992410278320312500e+01,9.581143951416015625e+01,8.681099700927734375e+01,9.225741028785705566e-01,1.000000000000000000e+00,5.787129402160644531e-01,-6.071039438247680664e-01
7.751398468017578125e+01,9.728684234619140625e+01,7.156004333496093750e+01,8.130599856376647949e-01,2.400000000000000000e+01,7.112540006637573242e-01,-3.680472075939178467e-02
7.354401397705078125e+01,8.588120269775390625e+01,7.237236022949218750e+01,8.097597956657409668e-01,3.100000000000000000e+01,8.656578063964843750e-01,-4.626200720667839050e-02
8.431189727783203125e+01,9.667833709716796875e+01,7.749205780029296875e+01,8.379108309745788574e-01,1.900000000000000000e+01,5.315335988998413086e-01,-7.710277438163757324e-01
6.353085327148437500e+01,8.389449310302734375e+01,6.242060089111328125e+01,7.069580554962158203e-01,5.200000000000000000e+01,1.024552464485168457e+00,7.023589611053466797e-01
9.886688232421875000e+01,1.256529388427734375e+02,1.072320404052734375e+02,6.823999881744384766e-01,8.100000000000000000e+01,1.057272553443908691e+00,5.372187495231628418e-01
1.112069015502929688e+02,1.199793930053710938e+02,1.105045166015625000e+02,8.593294024467468262e-01,3.100000000000000000e+01,4.823311865329742432e-01,-6.062661409378051758e-01
7.566032409667968750e+01,1.205150604248046875e+02,9.297521209716796875e+01,5.069342851638793945e-01,4.900000000000000000e+01,9.853487610816955566e-01,5.107895731925964355e-01
1.142006683349609375e+02,1.290417633056640625e+02,1.117439956665039062e+02,8.239221572875976562e-01,2.400000000000000000e+01,6.612026691436767578e-01,-3.161429762840270996e-01
6.908961486816406250e+01,8.007534027099609375e+01,6.868868255615234375e+01,8.183802366256713867e-01,2.300000000000000000e+01,1.154030323028564453e+00,7.185609936714172363e-01
1.700074577331542969e+01,2.053443145751953125e+01,1.589429569244384766e+01,8.254545331001281738e-01,2.000000000000000000e+00,6.617851853370666504e-01,-6.474187970161437988e-01
1.254177093505859375e+02,1.313079071044921875e+02,1.223482589721679688e+02,9.293613433837890625e-01,1.300000000000000000e+01,6.342017054557800293e-01,-5.495532155036926270e-01
4.602901840209960938e+01,5.924241256713867188e+01,4.685369491577148438e+01,7.206583023071289062e-01,1.900000000000000000e+01,1.316245436668395996e+00,1.450195550918579102e+00
7.400137329101562500e+01,9.162858581542968750e+01,7.351306915283203125e+01,6.974217891693115234e-01,2.000000000000000000e+01,6.221616864204406738e-01,-5.537222623825073242e-01
7.119527435302734375e+01,1.130922470092773438e+02,6.500806427001953125e+01,5.197806358337402344e-01,5.500000000000000000e+01,9.191260933876037598e-01,3.314208686351776123e-01
9.398118591308593750e+01,9.972972106933593750e+01,9.116919708251953125e+01,9.251800775527954102e-01,1.300000000000000000e+01,7.278333306312561035e-01,-2.325275540351867676e-01
5.396201324462890625e+01,6.602330017089843750e+01,5.217761230468750000e+01,7.131275534629821777e-01,1.900000000000000000e+01,6.064254045486450195e-01,-5.595228075981140137e-01
4.471002197265625000e+01,4.763696670532226562e+01,4.246831893920898438e+01,9.509388208389282227e-01,1.000000000000000000e+00,5.521822571754455566e-01,-6.842240691184997559e-01
2.724515914916992188e+01,3.490529632568359375e+01,2.772701263427734375e+01,6.858823299407958984e-01,7.000000000000000000e+00,1.057263612747192383e+00,2.501726150512695312e-01
3.661585998535156250e+01,5.051006698608398438e+01,3.706184005737304688e+01,6.377952694892883301e-01,1.700000000000000000e+01,8.396688103675842285e-01,-1.776421666145324707e-01
9.114063262939453125e+01,1.083529891967773438e+02,9.920288085937500000e+01,6.923484802246093750e-01,7.300000000000000000e+01,1.107453227043151855e+00,8.294875025749206543e-01
6.671765136718750000e+01,1.040586395263671875e+02,8.193804168701171875e+01,4.578313231468200684e-01,5.400000000000000000e+01,1.181626677513122559e+00,9.845128059387207031e-01
7.148083496093750000e+01,9.302828216552734375e+01,7.452642059326171875e+01,6.648442745208740234e-01,1.100000000000000000e+01,6.305278539657592773e-01,-4.841666519641876221e-01
7.441316223144531250e+01,1.008342666625976562e+02,7.894505310058593750e+01,6.063859462738037109e-01,3.400000000000000000e+01,7.536737322807312012e-01,-4.017007648944854736e-01
6.844156646728515625e+01,9.476333618164062500e+01,8.566629028320312500e+01,5.034897923469543457e-01,6.700000000000000000e+01,8.863665461540222168e-01,2.936313748359680176e-01
3.836489105224609375e+01,4.916226196289062500e+01,3.748154067993164062e+01,7.215980291366577148e-01,1.000000000000000000e+01,8.750725984573364258e-01,-1.926246732473373413e-01
3.761075973510742188e+01,7.159037017822265625e+01,5.012786865234375000e+01,3.860319554805755615e-01,1.500000000000000000e+01,1.055493235588073730e+00,1.449396014213562012e-01
7.234838104248046875e+01,8.631764221191406250e+01,8.546476745605468750e+01,5.970084071159362793e-01,5.700000000000000000e+01,1.265236139297485352e+00,1.708076953887939453e+00
6.244944000244140625e+01,1.001089477539062500e+02,8.738011169433593750e+01,4.334229528903961182e-01,3.200000000000000000e+01,1.229774594306945801e+00,1.165261387825012207e+00
8.250296020507812500e+01,9.446009063720703125e+01,8.144754028320312500e+01,7.754569053649902344e-01,1.000000000000000000e+01,6.404463052749633789e-01,-4.362121522426605225e-01
6.043942642211914062e+01,7.331269836425781250e+01,5.771334457397460938e+01,7.145703434944152832e-01,1.600000000000000000e+01,9.698471426963806152e-01,7.900682091712951660e-02
3.104581069946289062e+01,3.798151016235351562e+01,2.838657379150390625e+01,8.477043509483337402e-01,4.000000000000000000e+00,6.926423907279968262e-01,-4.756495356559753418e-01
1.024342117309570312e+02,1.184352035522460938e+02,9.578805541992187500e+01,8.758635520935058594e-01,3.400000000000000000e+01,7.094586491584777832e-01,-3.298512697219848633e-01
3.885951614379882812e+01,6.741171264648437500e+01,3.580732345581054688e+01,6.088295578956604004e-01,2.200000000000000000e+01,1.125386357307434082e+00,9.546970725059509277e-01
6.949386596679687500e+01,8.797887420654296875e+01,7.406653594970703125e+01,6.813364624977111816e-01,2.600000000000000000e+01,6.247965693473815918e-01,-4.891755282878875732e-01
5.774612045288085938e+01,7.453990173339843750e+01,6.245280838012695312e+01,6.037344336509704590e-01,3.000000000000000000e+01,1.123315691947937012e+00,7.526636719703674316e-01
6.742006683349609375e+01,8.801234436035156250e+01,6.329932403564453125e+01,6.381837725639343262e-01,1.700000000000000000e+01,8.403680920600891113e-01,5.474952235817909241e-02
3.503430938720703125e+01,5.499395370483398438e+01,3.640501403808593750e+01,6.028767824172973633e-01,1.800000000000000000e+01,1.002803444862365723e+00,4.432453215122222900e-01
4.212951278686523438e+01,5.218879699707031250e+01,4.289818191528320312e+01,7.086934447288513184e-01,1.600000000000000000e+01,1.199596762657165527e+00,6.346774101257324219e-01
7.194246673583984375e+01,1.004450836181640625e+02,6.980030059814453125e+01,6.201372742652893066e-01,2.000000000000000000e+01,8.617795705795288086e-01,6.710229814052581787e-02
3.396402359008789062e+01,5.350735092163085938e+01,2.787899780273437500e+01,6.921314001083374023e-01,4.000000000000000000e+00,4.969559311866760254e-01,-7.363227605819702148e-01
1.035775833129882812e+02,1.217862472534179688e+02,1.096933975219726562e+02,7.584841251373291016e-01,4.700000000000000000e+01,9.208406209945678711e-01,2.453060448169708252e-01
5.702502822875976562e+01,1.208330688476562500e+02,5.879542541503906250e+01,4.475990235805511475e-01,4.600000000000000000e+01,2.032146453857421875e+00,4.928206443786621094e+00
7.015034484863281250e+01,8.095709228515625000e+01,7.226555633544921875e+01,8.090851902961730957e-01,1.800000000000000000e+01,7.664116024971008301e-01,-2.459748834371566772e-02
3.246909713745117188e+01,5.032202529907226562e+01,3.561647415161132812e+01,5.826882719993591309e-01,2.500000000000000000e+01,1.066612124443054199e+00,5.915633440017700195e-01
9.838275909423828125e+01,1.162097549438476562e+02,9.872429656982421875e+01,7.943573594093322754e-01,5.800000000000000000e+01,9.672434329986572266e-01,5.162507891654968262e-01
8.423635864257812500e+01,1.259198455810546875e+02,8.007431793212890625e+01,6.545689702033996582e-01,4.100000000000000000e+01,1.289058923721313477e+00,1.406914472579956055e+00
3.454019927978515625e+01,7.921139526367187500e+01,2.925379562377929688e+01,3.899292647838592529e-01,1.900000000000000000e+01,1.371310949325561523e+00,1.558862328529357910e+00
1.083772811889648438e+02,1.267266998291015625e+02,1.157054595947265625e+02,7.686219215393066406e-01,6.800000000000000000e+01,1.009786844253540039e+00,4.551279246807098389e-01
3.392651748657226562e+01,7.410743713378906250e+01,3.134530639648437500e+01,4.823906123638153076e-01,1.200000000000000000e+01,1.306513667106628418e+00,1.439168334007263184e+00
6.610414886474609375e+01,8.939620208740234375e+01,7.594042968750000000e+01,5.671789646148681641e-01,3.500000000000000000e+01,8.807325363159179688e-01,1.911241710186004639e-01
9.297323608398437500e+01,1.134554519653320312e+02,1.112324752807617188e+02,6.617603898048400879e-01,6.400000000000000000e+01,7.761034369468688965e-01,-4.372238740324974060e-02
5.837113189697265625e+01,6.388414001464843750e+01,5.669051361083984375e+01,8.282265663146972656e-01,1.200000000000000000e+01,6.986803412437438965e-01,-5.902898311614990234e-01
7.457553100585937500e+01,9.208558654785156250e+01,8.000530242919921875e+01,7.050847411155700684e-01,4.700000000000000000e+01,1.310180544853210449e+00,1.654728055000305176e+00
8.774553680419921875e+01,9.463101196289062500e+01,9.056124114990234375e+01,8.333792686462402344e-01,1.800000000000000000e+01,7.303296327590942383e-01,-2.540855705738067627e-01
7.377735900878906250e+01,8.829378509521484375e+01,6.772785949707031250e+01,8.433616161346435547e-01,7.000000000000000000e+00,7.720336914062500000e-01,-2.190218418836593628e-01
4.472425842285156250e+01,5.185011291503906250e+01,4.235678482055664062e+01,8.491891622543334961e-01,1.500000000000000000e+01,7.304244041442871094e-01,-5.813798308372497559e-01
2.495223617553710938e+01,2.897740936279296875e+01,2.636778450012207031e+01,7.298507690429687500e-01,7.000000000000000000e+00,8.207015395164489746e-01,-1.928902268409729004e-01
8.236395263671875000e+01,1.227481460571289062e+02,8.458716583251953125e+01,5.996623635292053223e-01,6.800000000000000000e+01,1.350962042808532715e+00,1.856239318847656250e+00
5.180722808837890625e+01,6.237649917602539062e+01,5.075862503051757812e+01,7.718784213066101074e-01,1.600000000000000000e+01,1.251150965690612793e+00,1.131964921951293945e+00
7.232197570800781250e+01,9.439739990234375000e+01,6.713991546630859375e+01,7.534849643707275391e-01,3.100000000000000000e+01,8.274430632591247559e-01,-2.848905883729457855e-02
4.486637496948242188e+01,7.276954650878906250e+01,6.026731491088867188e+01,4.326765239238739014e-01,1.600000000000000000e+01,1.131361246109008789e+00,6.859292387962341309e-01
8.029747772216796875e+01,1.102255783081054688e+02,7.828515625000000000e+01,6.302427053451538086e-01,2.800000000000000000e+01,8.454357981681823730e-01,4.240516200661659241e-02
4.349751663208007812e+01,8.252780151367187500e+01,5.034889984130859375e+01,4.652473330497741699e-01,2.300000000000000000e+01,1.129364848136901855e+00,7.274160385131835938e-01
8.044006347656250000e+01,1.129692993164062500e+02,7.835917663574218750e+01,6.284160017967224121e-01,6.000000000000000000e+01,1.118523836135864258e+00,8.932726383209228516e-01
4.664725494384765625e+01,5.310443878173828125e+01,4.227159500122070312e+01,8.498259782791137695e-01,4.000000000000000000e+00,5.656386613845825195e-01,-6.782563924789428711e-01
7.689554595947265625e+01,1.102264556884765625e+02,9.347454071044921875e+01,4.911687076091766357e-01,6.800000000000000000e+01,1.756043195724487305e+00,2.772341728210449219e+00
9.753139495849609375e+01,1.056643981933593750e+02,9.987817382812500000e+01,7.877478003501892090e-01,1.700000000000000000e+01,9.201465249061584473e-01,3.587368177250027657e-03
2.164606475830078125e+01,2.734122085571289062e+01,2.257457733154296875e+01,7.619047760963439941e-01,8.000000000000000000e+00,6.798168420791625977e-01,-6.057329177856445312e-01
1.012213363647460938e+02,1.127722930908203125e+02,1.079657440185546875e+02,7.012636065483093262e-01,4.800000000000000000e+01,1.092802643775939941e+00,9.035637974739074707e-01
3.984632492065429688e+01,6.900376892089843750e+01,3.725401306152343750e+01,6.291624903678894043e-01,1.500000000000000000e+01,1.460241675376892090e+00,1.901880025863647461e+00
3.786380386352539062e+01,5.264234542846679688e+01,3.363072204589843750e+01,7.680764198303222656e-01,1.000000000000000000e+01,1.330449342727661133e+00,1.567125678062438965e+00
7.232197570800781250e+01,9.979685974121093750e+01,7.022109222412109375e+01,6.698189973831176758e-01,3.200000000000000000e+01,1.060257434844970703e+00,3.599735200405120850e-01
2.715153121948242188e+01,3.733755874633789062e+01,2.677425193786621094e+01,6.390728354454040527e-01,1.200000000000000000e+01,8.758453130722045898e-01,-7.173965871334075928e-02
4.859896469116210938e+01,5.509716033935546875e+01,4.938912963867187500e+01,7.543717026710510254e-01,1.300000000000000000e+01,9.458778500556945801e-01,1.692796349525451660e-01
